prime,prime.result,target,congruent,operand,distance,counterbalance,1,9,17,25,33,2,10,18,26,34,41,6,14,22,30,38,5,13,21,29,37
=7-4-3,0,1,no,S,-1,1,805,976,664,804,872,736,664,560,597,628,524,840,595,665,701,1084,804,805,768,664,769
=8-1-7,0,5,no,S,-5,1,700,700,664,628,700,664,628,492,665,664,560,596,700,664,595,595,768,1708,908,596,561
=8-3-5,0,2,no,S,-2,1,804,976,664,700,804,664,736,627,560,665,524,872,664,736,664,664,700,664,560,804,664
=8-6-2,0,5,no,S,-5,1,736,944,491,596,596,736,560,596,804,699,664,805,736,664,561,492,768,596,560,736,596
=9-1-8,0,2,no,S,-2,1,768,1048,664,700,701,664,628,736,628,699,735,,524,805,628,701,699,664,700,840,736
=9-5-4,0,2,no,S,-2,1,737,1013,663,595,700,768,735,736,628,735,664,908,561,663,628,737,804,457,559,804,663
=9-6-3,0,1,no,S,-1,1,873,840,736,872,769,597,628,628,700,737,456,737,559,804,628,455,596,699,736,736,736
=9-7-2,0,4,no,S,-4,1,664,872,628,804,664,597,524,628,595,628,628,561,525,664,491,561,627,596,628,595,107
=6-3-2,1,4,no,S,-3,1,664,736,524,628,664,628,628,560,560,595,736,456,700,736,560,560,524,700,945,628,700
=7-2-4,1,0,no,S,1,1,596,,597,491,841,700,561,629,560,596,975,700,456,596,523,596,664,627,596,908,628
=8-2-5,1,6,no,S,-5,1,,944,700,,804,699,664,700,663,699,804,804,456,803,597,700,873,664,628,628,872
=8-4-3,1,0,no,S,1,1,767,804,456,560,736,700,664,523,523,628,456,872,628,804,457,492,628,628,,736,768
=9-2-6,1,0,no,S,1,1,491,872,803,628,664,701,595,524,,664,455,628,492,803,492,492,628,560,663,1188,736
=9-5-3,1,0,no,S,1,1,736,737,597,525,664,700,596,560,560,803,524,663,596,700,523,456,492,596,769,628,456
=6-1-3,2,0,no,S,2,1,736,805,664,628,664,,559,700,492,596,560,597,492,804,492,420,596,561,524,628,596
=7-1-4,2,0,no,S,2,1,628,700,456,596,803,,561,559,560,736,,663,595,736,523,524,559,628,628,628,456
=8-1-5,2,0,no,S,2,1,559,,595,628,596,493,628,597,595,628,840,492,524,595,384,492,736,596,596,597,767
=9-4-3,2,1,no,S,1,1,524,1012,840,736,840,596,664,597,664,908,597,804,663,872,596,595,628,803,596,803,768
=9-6-1,2,0,no,S,2,1,872,804,664,596,,456,596,839,595,664,559,560,560,805,561,456,908,628,525,700,
=6-1-2,3,0,no,S,3,1,561,840,525,595,628,736,525,596,456,736,525,840,560,663,524,524,736,597,664,628,628
=8-4-1,3,0,no,S,3,1,628,768,561,493,767,,628,,560,628,561,596,595,803,,,,664,596,1012,736
=9-2-4,3,0,no,S,3,1,804,767,420,597,803,456,524,1152,456,700,768,524,455,699,523,,872,559,840,628,595
=9-5-1,3,2,no,S,1,1,664,908,700,700,804,664,595,492,560,736,767,,523,804,493,737,735,767,737,664,628
=7-1-2,4,0,no,S,4,1,560,872,561,628,700,,700,664,664,596,493,524,628,700,420,524,597,561,664,559,596
=8-1-3,4,0,no,S,4,1,560,736,559,628,,629,595,524,596,664,700,,,736,560,456,663,596,595,,595
=9-2-3,4,0,no,S,4,1,944,701,456,524,595,523,559,524,560,628,493,664,492,840,560,456,628,524,664,664,595
=8-1-2,5,0,no,S,5,1,700,944,525,597,664,524,664,596,492,664,803,664,596,803,492,628,700,,628,596,628
=9-3-1,5,0,no,S,5,1,664,944,628,628,664,736,597,492,492,664,628,700,523,803,596,492,559,700,699,871,767
=9-1-2,6,3,no,S,3,1,664,700,700,664,664,700,664,559,561,628,525,872,524,665,524,701,248,628,803,628,628
=3-2-1,0,0,yes,S,0,1,737,736,,560,629,596,628,493,456,664,628,560,663,664,523,628,664,596,736,872,456
=4-1-3,0,0,yes,S,0,1,561,840,664,524,700,523,628,561,248,628,,561,,768,560,560,628,700,560,1084,560
=5-2-3,0,0,yes,S,0,1,523,803,560,700,628,456,596,628,560,560,492,595,596,701,561,559,628,736,840,596,559
=5-4-1,0,0,yes,S,0,1,664,805,559,664,664,596,628,561,700,700,700,665,805,767,523,456,628,628,804,872,665
=6-1-5,0,0,yes,S,0,1,664,841,596,524,628,559,559,456,525,841,561,804,523,664,524,523,628,596,559,840,628
=6-2-4,0,0,yes,S,0,1,524,1012,595,524,628,701,664,597,456,1011,524,700,561,840,456,492,943,561,664,736,596
=7-3-4,0,0,yes,S,0,1,523,663,,628,627,560,597,700,524,735,560,700,493,699,456,493,492,805,976,628,597
=7-5-2,0,0,yes,S,0,1,664,701,315,595,628,596,596,456,492,628,524,561,493,840,492,,212,700,596,700,523
=7-6-1,0,0,yes,S,0,1,597,664,456,628,701,456,628,596,560,596,840,524,664,944,456,492,524,663,664,1153,
=8-2-6,0,0,yes,S,0,1,664,839,,597,700,596,628,663,561,628,383,525,700,804,492,,596,596,664,805,663
=8-5-3,0,0,yes,S,0,1,,803,525,595,628,492,597,560,560,595,664,,560,699,560,523,,597,,561,492
=8-7-1,0,0,yes,S,0,1,663,803,560,,663,,595,523,596,628,596,596,491,628,525,804,664,597,628,559,1187
=9-2-7,0,0,yes,S,0,1,664,804,492,769,664,596,596,596,492,736,523,597,596,735,420,456,560,628,628,700,597
=9-3-6,0,0,yes,S,0,1,664,805,491,597,840,736,663,596,559,628,664,944,596,664,524,,736,736,560,597,492
=9-4-5,0,0,yes,S,0,1,524,908,560,629,629,628,595,701,525,664,456,524,456,767,701,456,736,596,944,596,560
=9-8-1,0,0,yes,S,0,1,560,909,493,420,736,559,559,595,,945,595,560,560,840,628,492,908,629,628,736,
=6-2-3,1,1,yes,S,0,1,596,944,768,560,768,841,664,560,700,,492,664,628,664,492,493,664,664,736,803,560
=7-4-2,1,1,yes,S,0,1,839,944,628,803,768,595,597,627,595,872,664,805,628,840,628,491,664,735,735,628,176
=8-3-4,1,1,yes,S,0,1,768,872,699,701,737,628,701,524,628,908,492,560,664,768,560,492,664,628,628,737,663
=8-5-2,1,1,yes,S,0,1,525,976,944,736,872,737,664,664,628,596,560,804,767,736,560,628,628,736,840,768,736
=9-3-5,1,1,yes,S,0,1,768,907,664,768,735,700,664,456,596,628,525,736,664,769,596,737,595,871,736,736,736
=9-6-2,1,1,yes,S,0,1,873,908,596,768,735,664,700,559,597,560,523,663,628,596,596,595,699,316,736,699,664
=6-3-1,2,2,yes,S,0,1,768,943,664,700,803,664,524,628,627,736,492,804,596,839,664,699,700,840,628,700,737
=7-4-1,2,2,yes,S,0,1,736,804,805,664,804,628,701,101,628,664,628,699,,700,628,700,768,492,840,736,699
=8-5-1,2,2,yes,S,0,1,804,804,628,628,804,736,525,524,560,700,597,907,700,560,664,663,664,628,804,596,628
=9-1-6,2,2,yes,S,0,1,735,872,700,,768,769,595,803,596,700,596,664,560,769,628,664,767,,840,735,699
=9-3-4,2,2,yes,S,0,1,840,976,664,628,700,561,628,735,664,664,700,945,595,736,596,699,804,736,524,803,627
=6-2-1,3,3,yes,S,0,1,769,840,492,628,629,804,,596,664,525,525,524,524,664,560,596,,628,664,699,628
=8-1-4,3,3,yes,S,0,1,871,,664,628,524,700,628,176,596,701,523,700,595,841,524,628,664,767,664,629,561
=9-1-5,3,3,yes,S,0,1,664,700,559,597,595,664,597,560,560,735,629,768,664,736,560,665,628,,737,559,559
=9-4-2,3,3,yes,S,0,1,701,805,736,561,596,524,595,736,629,628,524,524,628,700,628,559,804,737,596,664,805
=7-2-1,4,4,yes,S,0,1,596,804,523,524,803,,560,560,596,596,596,524,595,628,492,561,628,664,561,597,628
=8-3-1,4,4,yes,S,0,1,628,804,628,596,700,524,596,596,524,700,977,700,664,737,523,596,664,628,664,700,524
=9-3-2,4,4,yes,S,0,1,595,700,803,561,,629,597,525,524,628,456,736,628,840,493,596,736,664,597,735,456
=8-2-1,5,5,yes,S,0,1,700,768,627,560,629,872,561,628,596,699,491,699,629,1048,595,628,,664,664,628,560
=9-1-3,5,5,yes,S,0,1,700,840,664,596,597,736,735,456,560,663,456,596,735,803,524,664,840,596,664,664,
=9-2-1,6,6,yes,S,0,1,700,1047,628,737,700,735,664,559,699,700,559,805,597,908,596,560,803,664,596,597,628
